"","","","Export Quantity Index (2014-2016 = 100) [495]","Export Quantity Index (2014-2016 = 100) [495]","Export Quantity Index (2014-2016 = 100) [495]","Export Unit/Value Index (2014-2016 = 100)","Export Unit/Value Index (2014-2016 = 100)","Export Unit/Value Index (2014-2016 = 100)","Export Value Base Price [95]","Export Value Base Price [95]","Export Value Base Price [95]","Export Value Base Quantity [94]","Export Value Base Quantity [94]","Export Value Base Quantity [94]","Export Value Index (2014-2016 = 100) [492]","Export Value Index (2014-2016 = 100) [492]","Export Value Index (2014-2016 = 100) [492]","Import Quantity Index (2014-2016 = 100) [465]","Import Quantity Index (2014-2016 = 100) [465]","Import Quantity Index (2014-2016 = 100) [465]","Import Unit/Value Index (2014-2016 = 100)","Import Unit/Value Index (2014-2016 = 100)","Import Unit/Value Index (2014-2016 = 100)","Import Value Base Period Price [65]","Import Value Base Period Price [65]","Import Value Base Period Price [65]","Import Value Base Period Quantity [64]","Import Value Base Period Quantity [64]","Import Value Base Period Quantity [64]","Import Value Index (2014-2016 = 100) [462]","Import Value Index (2014-2016 = 100) [462]","Import Value Index (2014-2016 = 100) [462]"
"","","","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description"
"1997 [1997]","Meat, chicken [1058]","Hungary [97]","index","55","Calculated data","index","84","Calculated data","1000 $","310049","Calculated data","1000 $","470430","Calculated data","index","47","Calculated data","index","8","Calculated data","index","44","Calculated data","1000 $","4982","Calculated data","1000 $","26106","Calculated data","index","4","Calculated data"
"1997 [1997]","Meat, chicken [1058]","Ireland [104]","index","47","Calculated data","index","120","Calculated data","1000 $","45532","Calculated data","1000 $","119094","Calculated data","index","58","Calculated data","index","12","Calculated data","index","88","Calculated data","1000 $","39745","Calculated data","1000 $","310463","Calculated data","index","10","Calculated data"
"1997 [1997]","Meat, pig [1035]","Hungary [97]","index","71","Calculated data","index","83","Calculated data","1000 $","262776","Calculated data","1000 $","307659","Calculated data","index","59","Calculated data","index","17","Calculated data","index","74","Calculated data","1000 $","44479","Calculated data","1000 $","197289","Calculated data","index","12","Calculated data"
"1997 [1997]","Meat, pig [1035]","Ireland [104]","index","47","Calculated data","index","90","Calculated data","1000 $","216017","Calculated data","1000 $","419203","Calculated data","index","43","Calculated data","index","27","Calculated data","index","102","Calculated data","1000 $","33878","Calculated data","1000 $","127378","Calculated data","index","28","Calculated data"
"1997 [1997]","Meat, sheep [977]","Hungary [97]","index","215","Calculated data","index","69","Calculated data","1000 $","3038","Calculated data","1000 $","1061","Calculated data","index","162","Calculated data","index","38","Calculated data","index","38","Calculated data","1000 $","602","Calculated data","1000 $","616","Calculated data","index","15","Calculated data"
"1997 [1997]","Meat, sheep [977]","Ireland [104]","index","105","Calculated data","index","61","Calculated data","1000 $","284235","Calculated data","1000 $","166683","Calculated data","index","64","Calculated data","index","27","Calculated data","index","55","Calculated data","1000 $","6594","Calculated data","1000 $","13329","Calculated data","index","15","Calculated data"
"1998 [1998]","Meat, cattle [867]","Hungary [97]","index","41","Calculated data","index","88","Calculated data","1000 $","14737","Calculated data","1000 $","31922","Calculated data","index","36","Calculated data","","","","","","","","","","","","","","",""
"1998 [1998]","Meat, cattle [867]","Ireland [104]","index","112","Calculated data","index","43","Calculated data","1000 $","2169075","Calculated data","1000 $","828662","Calculated data","index","48","Calculated data","index","21","Calculated data","index","68","Calculated data","1000 $","22940","Calculated data","1000 $","76278","Calculated data","index","14","Calculated data"
"1998 [1998]","Meat, chicken [1058]","Hungary [97]","index","64","Calculated data","index","79","Calculated data","1000 $","356284","Calculated data","1000 $","444837","Calculated data","index","51","Calculated data","index","33","Calculated data","index","31","Calculated data","1000 $","19478","Calculated data","1000 $","18632","Calculated data","index","10","Calculated data"
"1998 [1998]","Meat, chicken [1058]","Ireland [104]","index","56","Calculated data","index","98","Calculated data","1000 $","53927","Calculated data","1000 $","97413","Calculated data","index","56","Calculated data","index","18","Calculated data","index","71","Calculated data","1000 $","62829","Calculated data","1000 $","249961","Calculated data","index","13","Calculated data"
